Country/Region,Province/State,Last Update,ObservationDate,Latitude,Longitude,Confirmed,Deaths,Recovered
Albania,,2020-05-12T15:42:00.005Z,3/6/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,3/7/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,3/8/20,41.1533,20.1683,0,0,0
Albania,,2020-05-12T15:42:00.005Z,3/9/20,41.1533,20.1683,2,0,0
Albania,,2020-05-12T15:42:00.005Z,3/10/20,41.1533,20.1683,10,0,0
Albania,,2020-05-12T15:42:00.005Z,3/11/20,41.1533,20.1683,12,1,0
Albania,,2020-05-12T15:42:00.005Z,3/12/20,41.1533,20.1683,23,1,0
Albania,,2020-05-12T15:42:00.005Z,3/13/20,41.1533,20.1683,33,1,0
Albania,,2020-05-12T15:42:00.005Z,3/14/20,41.1533,20.1683,38,1,0
Albania,,2020-05-12T15:42:00.005Z,3/15/20,41.1533,20.1683,42,1,0
Albania,,2020-05-12T15:42:00.005Z,3/16/20,41.1533,20.1683,51,1,0
Albania,,2020-05-12T15:42:00.005Z,3/17/20,41.1533,20.1683,55,1,0
Albania,,2020-05-12T15:42:00.005Z,3/18/20,41.1533,20.1683,59,2,0
Albania,,2020-05-12T15:42:00.005Z,3/19/20,41.1533,20.1683,64,2,0
Albania,,2020-05-12T15:42:00.005Z,3/20/20,41.1533,20.1683,70,2,0
Albania,,2020-05-12T15:42:00.005Z,3/21/20,41.1533,20.1683,76,2,2
Albania,,2020-05-12T15:42:00.005Z,3/22/20,41.1533,20.1683,89,2,2
Albania,,2020-05-12T15:42:00.005Z,3/23/20,41.1533,20.1683,104,4,2
Albania,,2020-05-12T15:42:00.005Z,3/24/20,41.1533,20.1683,123,5,10
Albania,,2020-05-12T15:42:00.005Z,3/25/20,41.1533,20.1683,146,5,17
Albania,,2020-05-12T15:42:00.005Z,3/26/20,41.1533,20.1683,174,6,17
Albania,,2020-05-12T15:42:00.005Z,3/27/20,41.1533,20.1683,186,8,31
Albania,,2020-05-12T15:42:00.005Z,3/28/20,41.1533,20.1683,197,10,31
Albania,,2020-05-12T15:42:00.005Z,3/29/20,41.1533,20.1683,212,10,33
Albania,,2020-05-12T15:42:00.005Z,3/30/20,41.1533,20.1683,223,11,44
Albania,,2020-05-12T15:42:00.005Z,3/31/20,41.1533,20.1683,243,15,52
Albania,,2020-05-12T15:42:00.005Z,4/1/20,41.1533,20.1683,259,15,67
Albania,,2020-05-12T15:42:00.005Z,4/2/20,41.1533,20.1683,277,16,76
Albania,,2020-05-12T15:42:00.005Z,4/3/20,41.1533,20.1683,304,17,89
Albania,,2020-05-12T15:42:00.005Z,4/4/20,41.1533,20.1683,333,20,99
Albania,,2020-05-12T15:42:00.005Z,4/5/20,41.1533,20.1683,361,20,104
Albania,,2020-05-12T15:42:00.005Z,4/6/20,41.1533,20.1683,377,21,116
Albania,,2020-05-12T15:42:00.005Z,4/7/20,41.1533,20.1683,383,22,131
Albania,,2020-05-12T15:42:00.005Z,4/8/20,41.1533,20.1683,400,22,154
Albania,,2020-05-12T15:42:00.005Z,4/9/20,41.1533,20.1683,409,23,165
Albania,,2020-05-12T15:42:00.005Z,4/10/20,41.1533,20.1683,416,23,182
Albania,,2020-05-12T15:42:00.005Z,4/11/20,41.1533,20.1683,433,23,197
Albania,,2020-05-12T15:42:00.005Z,4/12/20,41.1533,20.1683,446,23,217
Albania,,2020-05-12T15:42:00.005Z,4/13/20,41.1533,20.1683,467,23,232
Albania,,2020-05-12T15:42:00.005Z,4/14/20,41.1533,20.1683,475,24,248
Albania,,2020-05-12T15:42:00.005Z,4/15/20,41.1533,20.1683,494,25,251
Albania,,2020-05-12T15:42:00.005Z,4/16/20,41.1533,20.1683,518,26,277
Albania,,2020-05-12T15:42:00.005Z,4/17/20,41.1533,20.1683,539,26,283
Albania,,2020-05-12T15:42:00.005Z,4/18/20,41.1533,20.1683,548,26,302
Albania,,2020-05-12T15:42:00.005Z,4/19/20,41.1533,20.1683,562,26,314
Albania,,2020-05-12T15:42:00.005Z,4/20/20,41.1533,20.1683,584,26,327
Albania,,2020-05-12T15:42:00.005Z,4/21/20,41.1533,20.1683,609,26,345
Albania,,2020-05-12T15:42:00.005Z,4/22/20,41.1533,20.1683,634,27,356
Albania,,2020-05-12T15:42:00.005Z,4/23/20,41.1533,20.1683,663,27,385
Albania,,2020-05-12T15:42:00.005Z,4/24/20,41.1533,20.1683,678,27,394
Albania,,2020-05-12T15:42:00.005Z,4/25/20,41.1533,20.1683,712,27,403
Albania,,2020-05-12T15:42:00.005Z,4/26/20,41.1533,20.1683,726,28,410
Albania,,2020-05-12T15:42:00.005Z,4/27/20,41.1533,20.1683,736,28,422
Albania,,2020-05-12T15:42:00.005Z,4/28/20,41.1533,20.1683,750,30,431
Albania,,2020-05-12T15:42:00.005Z,4/29/20,41.1533,20.1683,766,30,455
Albania,,2020-05-12T15:42:00.005Z,4/30/20,41.1533,20.1683,773,31,470
Albania,,2020-05-12T15:42:00.005Z,5/1/20,41.1533,20.1683,782,31,488
Albania,,2020-05-12T15:42:00.005Z,5/2/20,41.1533,20.1683,789,31,519
Albania,,2020-05-12T15:42:00.005Z,5/3/20,41.1533,20.1683,795,31,531
Albania,,2020-05-12T15:42:00.005Z,5/4/20,41.1533,20.1683,803,31,543
Albania,,2020-05-12T15:42:00.005Z,5/5/20,41.1533,20.1683,820,31,570
Albania,,2020-05-12T15:42:00.005Z,5/6/20,41.1533,20.1683,832,31,595
Albania,,2020-05-12T15:42:00.005Z,5/7/20,41.1533,20.1683,842,31,605
Albania,,2020-05-12T15:42:00.005Z,5/8/20,41.1533,20.1683,850,31,620
Albania,,2020-05-12T15:42:00.005Z,5/9/20,41.1533,20.1683,856,31,627
Albania,,2020-05-12T15:42:00.005Z,5/10/20,41.1533,20.1683,868,31,650
Albania,,2020-05-12T15:42:00.005Z,5/11/20,41.1533,20.1683,872,31,654
Algeria,,2020-05-12T15:42:00.005Z,1/22/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,1/23/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,1/24/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,1/25/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,1/26/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,1/27/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,1/28/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,1/29/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,1/30/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,1/31/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/1/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/2/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/3/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/4/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/5/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/6/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/7/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/8/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/9/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/10/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/11/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/12/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/13/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/14/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/15/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/16/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/17/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/18/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/19/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/20/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/21/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/22/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/23/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/24/20,28.0339,1.6596,0,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/25/20,28.0339,1.6596,1,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/26/20,28.0339,1.6596,1,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/27/20,28.0339,1.6596,1,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/28/20,28.0339,1.6596,1,0,0
Algeria,,2020-05-12T15:42:00.005Z,2/29/20,28.0339,1.6596,1,0,0
Algeria,,2020-05-12T15:42:00.005Z,3/1/20,28.0339,1.6596,1,0,0
Algeria,,2020-05-12T15:42:00.005Z,3/2/20,28.0339,1.6596,3,0,0
Algeria,,2020-05-12T15:42:00.005Z,3/3/20,28.0339,1.6596,5,0,0
Algeria,,2020-05-12T15:42:00.005Z,3/4/20,28.0339,1.6596,12,0,0
Algeria,,2020-05-12T15:42:00.005Z,3/5/20,28.0339,1.6596,12,0,0
Algeria,,2020-05-12T15:42:00.005Z,3/6/20,28.0339,1.6596,17,0,0
Algeria,,2020-05-12T15:42:00.005Z,3/7/20,28.0339,1.6596,17,0,0
Algeria,,2020-05-12T15:42:00.005Z,3/8/20,28.0339,1.6596,19,0,0
Algeria,,2020-05-12T15:42:00.005Z,3/9/20,28.0339,1.6596,20,0,0
Algeria,,2020-05-12T15:42:00.005Z,3/10/20,28.0339,1.6596,20,0,0
Algeria,,2020-05-12T15:42:00.005Z,3/11/20,28.0339,1.6596,20,0,0
Algeria,,2020-05-12T15:42:00.005Z,3/12/20,28.0339,1.6596,24,1,8
Algeria,,2020-05-12T15:42:00.005Z,3/13/20,28.0339,1.6596,26,2,8
Algeria,,2020-05-12T15:42:00.005Z,3/14/20,28.0339,1.6596,37,3,12
Algeria,,2020-05-12T15:42:00.005Z,3/15/20,28.0339,1.6596,48,4,12
Algeria,,2020-05-12T15:42:00.005Z,3/16/20,28.0339,1.6596,54,4,12
Algeria,,2020-05-12T15:42:00.005Z,3/17/20,28.0339,1.6596,60,4,12
Algeria,,2020-05-12T15:42:00.005Z,3/18/20,28.0339,1.6596,74,7,12
Algeria,,2020-05-12T15:42:00.005Z,3/19/20,28.0339,1.6596,87,9,32
Algeria,,2020-05-12T15:42:00.005Z,3/20/20,28.0339,1.6596,90,11,32
Algeria,,2020-05-12T15:42:00.005Z,3/21/20,28.0339,1.6596,139,15,32
Algeria,,2020-05-12T15:42:00.005Z,3/22/20,28.0339,1.6596,201,17,65
Algeria,,2020-05-12T15:42:00.005Z,3/23/20,28.0339,1.6596,230,17,65
Algeria,,2020-05-12T15:42:00.005Z,3/24/20,28.0339,1.6596,264,19,24
Algeria,,2020-05-12T15:42:00.005Z,3/25/20,28.0339,1.6596,302,21,65
Algeria,,2020-05-12T15:42:00.005Z,3/26/20,28.0339,1.6596,367,25,29
Algeria,,2020-05-12T15:42:00.005Z,3/27/20,28.0339,1.6596,409,26,29
Algeria,,2020-05-12T15:42:00.005Z,3/28/20,28.0339,1.6596,454,29,31
Algeria,,2020-05-12T15:42:00.005Z,3/29/20,28.0339,1.6596,511,31,31
Algeria,,2020-05-12T15:42:00.005Z,3/30/20,28.0339,1.6596,584,35,37
Algeria,,2020-05-12T15:42:00.005Z,3/31/20,28.0339,1.6596,716,44,46
Algeria,,2020-05-12T15:42:00.005Z,4/1/20,28.0339,1.6596,847,58,61
Algeria,,2020-05-12T15:42:00.005Z,4/2/20,28.0339,1.6596,986,86,61
Algeria,,2020-05-12T15:42:00.005Z,4/3/20,28.0339,1.6596,1171,105,62
Algeria,,2020-05-12T15:42:00.005Z,4/4/20,28.0339,1.6596,1251,130,90
Algeria,,2020-05-12T15:42:00.005Z,4/5/20,28.0339,1.6596,1320,152,90
Algeria,,2020-05-12T15:42:00.005Z,4/6/20,28.0339,1.6596,1423,173,90
Algeria,,2020-05-12T15:42:00.005Z,4/7/20,28.0339,1.6596,1468,193,113
Algeria,,2020-05-12T15:42:00.005Z,4/8/20,28.0339,1.6596,1572,205,237
Algeria,,2020-05-12T15:42:00.005Z,4/9/20,28.0339,1.6596,1666,235,347
Algeria,,2020-05-12T15:42:00.005Z,4/10/20,28.0339,1.6596,1761,256,405
Algeria,,2020-05-12T15:42:00.005Z,4/11/20,28.0339,1.6596,1825,275,460
Algeria,,2020-05-12T15:42:00.005Z,4/12/20,28.0339,1.6596,1914,293,591
Algeria,,2020-05-12T15:42:00.005Z,4/13/20,28.0339,1.6596,1983,313,601
Algeria,,2020-05-12T15:42:00.005Z,4/14/20,28.0339,1.6596,2070,326,691
Algeria,,2020-05-12T15:42:00.005Z,4/15/20,28.0339,1.6596,2160,336,708
Algeria,,2020-05-12T15:42:00.005Z,4/16/20,28.0339,1.6596,2268,348,783
Algeria,,2020-05-12T15:42:00.005Z,4/17/20,28.0339,1.6596,2418,364,846
Algeria,,2020-05-12T15:42:00.005Z,4/18/20,28.0339,1.6596,2534,367,894
Algeria,,2020-05-12T15:42:00.005Z,4/19/20,28.0339,1.6596,2629,375,1047
Algeria,,2020-05-12T15:42:00.005Z,4/20/20,28.0339,1.6596,2718,384,1099
Algeria,,2020-05-12T15:42:00.005Z,4/21/20,28.0339,1.6596,2811,392,1152
Algeria,,2020-05-12T15:42:00.005Z,4/22/20,28.0339,1.6596,2910,402,1204
Algeria,,2020-05-12T15:42:00.005Z,4/23/20,28.0339,1.6596,3007,407,1355
Algeria,,2020-05-12T15:42:00.005Z,4/24/20,28.0339,1.6596,3127,415,1408
Algeria,,2020-05-12T15:42:00.005Z,4/25/20,28.0339,1.6596,3256,419,1479
